"id","nome","codigo"
124,"KRAHO (CRAO, KRAO)","0124"
125,"KREJE (KRENYE)","0125"
126,"KRENAK (BORUN, CRENAQUE)","0126"
127,"KRIKATI (KRINKATI)","0127"
128,"KUBEO (CUBEO, COBEWA, KUBEWA, PAMIWA, CU­BEU)","0128"
129,"KUIKURO (KUIKURU, CUICURO)","0129"
130,"KUJUBIM (KUYUBI, CUJUBIM)","0130"
131,"KULINA PANO (CULINA)","0131"
132,"KULINA/MADIHA (CULINA, MADIJA, MADIHA)","0132"
133,"KURIPAKO (CURIPACO, CURRIPACO, CORIPACO, WAKUENAI)","0133"
134,"KURUAIA (CURUAIA)","0134"
135,"KWAZA (COAIA, KOAIA)","0135"
136,"MACHINERI (MANCHINERI, MANXINERI)","0136"
137,"MACURAP (MAKURAP)","0137"
138,"MAKU DOW (DOW)","0138"
139,"MAKU HUPDA (HUPDA)","0139"
140,"MAKU NADEB (NADEB)","0140"
141,"MAKU YUHUPDE (YUHUPDE)","0141"
142,"MAKUNA (MACUNA, YEBA-MASA)","0142"
143,"MAKUXI (MACUXI, MACHUSI, PEMON)","0143"
144,"MARIMAM (MARIMA)","0144"
145,"MARUBO","0145"
146,"MATIPU","0146"
147,"MATIS","0147"
148,"MATSE (MAYORUNA)","0148"
149,"MAXAKALI (MAXACALI)","0149"
150,"MAYA (MAYA)","0150"
151,"MAYTAPU","0151"
152,"MEHINAKO (MEINAKU, MEINACU)","0152"
153,"MEKEN (MEQUEM, MEKHEM, MICHENS)","0153"
154,"MENKY (MYKY, MUNKU, MENKI, MYNKY)","0154"
155,"MIRANHA (MIRANHA, MIRANA)","0155"
156,"MIRITI TAPUIA (MIRITI-TAPUYA, BUIA-TAPUYA)","0156"
157,"MUNDURUKU (MUNDURUCU)","0157"
158,"MURA","0158"
159,"NAHUKWA (NAFUQUA)","0159"
160,"NAMBIKWARA DO CAMPO (HALOTESU, KITHAULU, WAKALITES","0160"
161,"NAMBIKWARA DO NORTE (NEGAROTE ,MAMAIN­DE, LATUNDE,","0161"
162,"NAMBIKWARA DO SUL (WASUSU ,HAHAINTESU, ALANTESU, W","0162"
163,"NARAVUTE (NARUVOTO)","0163"
164,"NAWA (NAUA)","0164"
165,"NUKINI (NUQUINI, NUKUINI)","0165"
166,"OFAIE (OFAYE-XAVANTE)","0166"
167,"ORO WIN","0167"
168,"PAIAKU (JENIPAPO-KANINDE)","0168"
169,"PAKAA NOVA (WARI, PACAAS NOVOS)","0169"
170,"PALIKUR (AUKWAYENE, AUKUYENE, PALIKU'ENE)","0170"
171,"PANARA (KRENHAKARORE , KRENAKORE, KRENA­KARORE)","0171"
172,"PANKARARE (PANCARARE)","0172"
173,"PANKARARU (PANCARARU)","0173"
174,"PANKARARU KALANKO (KALANKO)","0174"
175,"PANKARARU KARUAZU (KARUAZU)","0175"
176,"PANKARU (PANCARU)","0176"
177,"PARAKANA (PARACANA, APITEREWA, AWAETE)","0177"
178,"PARECI (PARESI, HALITI)","0178"
179,"PARINTINTIN","0179"
180,"PATAMONA (KAPON)","0180"
181,"PATAXO","0181"
182,"PATAXO HA-HA-HAE","0182"
183,"PAUMARI (PALMARI)","0183"
184,"PAUMELENHO","0184"
185,"PIRAHA (MURA PIRAHA)","0185"
186,"PIRATUAPUIA (PIRATAPUYA, PIRATAPUYO, PIRA­TAPUYA,","0186"
187,"PITAGUARI","0187"
188,"POTIGUARA","0188"
189,"POYANAWA (POIANAUA)","0189"
190,"RIKBAKTSA (CANOEIROS, ERIGPAKTSA)","0190"
191,"SAKURABIAT (MEKENS, SAKIRABIAP, SAKIRABIAR)","0191"
192,"SATERE-MAWE (SATERE-MAUE)","0192"
193,"SHANENAWA (KATUKINA)","0193"
194,"SIRIANO (SIRIA-MASA)","0194"
195,"SURIANA","0195"
196,"SURUI DE RONDONIA (PAITER)","0196"
197,"SURUI DO PARA (AIKEWARA)","0197"
198,"SUYA (SUIA/KISEDJE)","0198"
199,"TAPAYUNA (BEICO-DE-PAU)","0199"
200,"TAPEBA","0200"
201,"TAPIRAPE (TAPI'IRAPE)","0201"
202,"TAPUIA (TAPUIA-XAVANTE, TAPUIO)","0202"
203,"TARIANO (TARIANA, TALIASERI)","0203"
204,"TAUREPANG (TAULIPANG, PEMON, AREKUNA, PA­GEYN)","0204"
205,"TEMBE","0205"
206,"TENHARIM","0206"
207,"TERENA","0207"
208,"TICUNA (TIKUNA, TUKUNA, MAGUTA)","0208"
209,"TINGUI BOTO","0209"
210,"TIRIYO EWARHUYANA (TIRIYO, TRIO, TARONA, YAWI, PIA","0210"
211,"TIRIYO KAH'YANA (TIRIYO, TRIO, TARONA, YAWI, PIANO","0211"
212,"TIRIYO TSIKUYANA (TIRIYO, TRIO, TARONA, YAWI, PIAN","0212"
213,"TORA","0213"
214,"TREMEMBE","0214"
215,"TRUKA","0215"
216,"TRUMAI","0216"
217,"TSOHOM DJAPA (TSUNHUM-DJAPA)","0217"
218,"TUKANO (TUCANO, YE'PA-MASA, DASEA)","0218"
219,"TUMBALALA","0219"
220,"TUNAYANA","0220"
221,"TUPARI","0221"
222,"TUPINAMBA","0222"
223,"TUPINIQUIM","0223"
224,"TURIWARA","0224"
225,"TUXA","0225"
226,"TUYUKA (TUIUCA, DOKAPUARA, UTAPINOMAKA­PHONA)","0226"
227,"TXIKAO (TXICAO, IKPENG)","0227"
228,"UMUTINA (OMOTINA, BARBADOS)","0228"
229,"URU-EU-WAU-WAU (URUEU-UAU-UAU, URUPAIN, URUPA)","0229"
230,"WAI WAI HIXKARYANA (HIXKARYANA)","0230"
231,"WAI WAI KARAFAWYANA (KARAFAWYANA, KARA­PAWYANA)","0231"
232,"WAI WAI XEREU (XEREU)","0232"
233,"WAI WAI KATUENA (KATUENA)","0233"
234,"WAI WAI MAWAYANA (MAWAYANA)","0234"
235,"WAIAPI (WAYAMPI, OYAMPI, WAYAPY, )","0235"
236,"WAIMIRI ATROARI (KINA)","0236"
237,"WANANO (UANANO, WANANA)","0237"
238,"WAPIXANA (UAPIXANA, VAPIDIANA, WAPISIANA, WAPISHAN","0238"
239,"WAREKENA (UAREQUENA, WEREKENA)","0239"
240,"WASSU","0240"
241,"WAURA (UAURA, WAUJA)","0241"
242,"WAYANA (WAIANA, UAIANA)","0242"
243,"WITOTO (UITOTO, HUITOTO)","0243"
244,"XAKRIABA (XACRIABA)","0244"
245,"XAVANTE (A'UWE, AKWE, AWEN, AKWEN)","0245"
246,"XERENTE (AKWE, AWEN, AKWEN)","0246"
247,"XETA","0247"
248,"XIPAIA (SHIPAYA, XIPAYA)","0248"
249,"XOKLENG (SHOKLENG, XOCLENG)","0249"
250,"XOKO (XOCO, CHOCO)","0250"
251,"XUKURU (XUCURU)","0251"
252,"XUKURU KARIRI (XUCURU-KARIRI)","0252"
253,"YAIPIYANA","0253"
254,"YAMINAWA (JAMINAWA, IAMINAWA)","0254"
255,"YANOMAMI NINAM (IANOMAMI, IANOAMA, XIRIA­NA)","0255"
256,"YANOMAMI SANUMA (IANOMAMI, IANOAMA, XI­RIANA)","0256"
257,"YANOMAMI YANOMAM (IANOMAMI, IANOAMA, XI­RIANA)","0257"
258,"YAWALAPITI (IAUALAPITI)","0258"
259,"YAWANAWA (IAUANAUA)","0259"
260,"YEKUANA (MAIONGON, YE'KUANA, YEKWANA, MAYONGONG)","0260"
261,"YUDJA (JURUNA, YURUNA)","0261"
262,"ZO'E (POTURU)","0262"
263,"ZORO (PAGEYN)","0263"
264,"ZURUAHA (SOROWAHA, SURUWAHA)","0264"
